species,redlistCategory,ext.prob,vertical_position ,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
Carcharhinus_limbatus_mask,Critically Endangered,,pelagic-oceanic,0.005622896,-0.0077979,-0.001378437,-0.002347351,-0.001941663,0.001578525,-0.000645464,-0.001260196,0.000586217,0.000468677,-0.000590599,-0.00172612,-0.000868579,0.000157726,-0.00145408,0.000667731,-0.000360177,0.000123336,-9.89E-05,-0.000494073,0.000360273,-0.000526823,0.000154573,0.000751816,-0.000163337,0.00014259,3.85E-05,-0.00015565,-0.000125402,-0.000240495,-0.000577978,-0.00033069,-5.88E-05,0.000234494,4.23E-05,-0.000145954,-0.00039432,-2.95E-05,0.000220803,-1.13E-06,-2.09E-18
Carcharhinus_longimanus_mask,Near Threatened,,benthopelagic,0.018209287,-0.007331756,-0.002635244,-0.006365119,0.000817366,0.001038208,0.000429442,0.001717451,-0.000273618,-4.21E-05,0.002256932,0.000447239,0.000877118,-0.001227852,0.000893414,-0.000451779,0.000599989,-1.36E-05,-0.001242581,0.000176118,-0.000960708,0.00044834,0.000968609,-0.000673798,-0.000371686,-0.000511239,0.000524293,0.000207276,5.16E-05,-0.000366746,6.19E-06,-0.000228286,7.25E-05,0.00041098,2.42E-05,0.000183191,-2.94E-05,-9.60E-05,-1.01E-05,3.62E-07,-5.43E-19
Carcharhinus_obscurus_mask,Vulnerable,,reef-associated,-0.00020218,-0.003922508,0.000879729,0.004537089,-0.000806746,-0.004850346,0.002541745,6.09E-05,0.001464327,0.001636788,0.000183685,0.000272216,0.000136546,-0.000930493,-0.00155278,0.000209538,-0.000596013,0.001043025,4.35E-05,0.000619387,0.00030761,0.000314442,-0.000970802,1.93E-05,-0.000907607,-0.000555395,-1.40E-05,-2.15E-05,0.000516387,-5.53E-05,-0.000213694,-0.000412887,3.12E-05,1.98E-06,-0.000149541,-2.37E-05,0.00030469,-6.35E-05,0.000107684,3.14E-06,-3.00E-18
Carcharhinus_perezi_mask,Near Threatened,,reef-associated,0.008607151,-0.005873487,-0.000663301,1.30E-05,-0.003221596,-0.002410625,0.002078591,-9.37E-05,0.000625354,-0.000825658,0.000296036,-0.000314112,-0.000152372,-0.000817535,-0.001305975,-0.000138576,-0.000808746,0.000776333,7.04E-05,6.90E-05,-0.00013975,0.000447693,5.52E-06,-0.000314726,0.000531581,-0.000380047,-7.99E-05,-0.000545985,-0.00038126,-0.000401155,0.000486333,0.000437334,-0.000743376,-2.90E-05,6.52E-05,-1.18E-05,-2.49E-05,5.45E-05,1.93E-05,5.64E-06,-2.04E-18
Carcharhinus_plumbeus_mask,Vulnerable,,reef-associated,0.005317869,-0.009569315,0.004357575,-0.001884868,0.002424393,0.002091156,-0.001067526,0.002000543,-0.000527004,-0.000734985,0.000700453,0.000354262,-0.001420249,0.000286093,0.000384867,0.000382635,0.000801361,-0.000829311,0.001031015,0.000130283,-0.000289656,0.000390455,-0.00077845,0.000179235,-0.000645387,0.000581608,0.00020794,0.000183511,0.00024553,-0.000306796,0.000309081,-8.62E-05,-0.000179125,5.19E-05,0.000383214,-0.000435876,7.00E-05,-1.32E-05,-8.42E-05,3.05E-07,-2.09E-18
Carcharhinus_signatus_mask,Vulnerable,,reef-associated,0.006654471,-0.002976095,-0.000215452,0.001257922,-0.002757787,0.003897342,0.000459535,-0.00112715,-0.001057311,-0.000701975,-0.000632499,0.001614484,-0.000707833,0.00236293,-0.001029453,-0.001326176,-0.000588696,-4.23E-05,0.000140141,-3.41E-05,-0.000656436,0.000449577,0.000416085,-0.000247471,0.000287013,-0.000203839,0.000122874,-0.000592852,0.000135829,0.000831928,7.32E-05,0.000110364,0.000197051,0.000149198,0.000124905,-0.000146363,9.54E-05,-0.000199441,0.000110124,2.69E-06,-3.13E-18
Carcharhinus_tilstoni_mask,Data Deficient,,reef-associated,-0.004324128,-0.003622301,0.002898246,0.001066686,-0.003825804,-0.003737627,0.000207744,-0.001894973,0.000106985,0.000227503,-0.001221734,0.001552766,-0.001369423,-0.001170671,0.000421322,-1.86E-05,0.000705971,0.000397607,0.000835297,-0.000271974,-0.000298039,-0.000301558,-0.000840768,-0.000884925,0.000277205,-7.29E-05,0.000371085,-1.33E-06,0.00050859,-7.41E-05,-0.000264534,0.000522337,0.000244298,0.000102535,-0.000177488,-4.45E-06,-0.000286607,-4.90E-05,-0.000131862,-1.87E-06,-2.19E-18
Carcharias_taurus_mask,Least Concern,,reef-associated,-0.013096803,0.003564082,0.000379686,0.000730235,0.001762373,0.000321413,-0.005068729,-0.002963273,0.001976871,-0.002453669,0.001928771,2.08E-05,-0.001057864,-0.001363745,0.000744192,-0.000426801,-0.000259121,-0.000315068,0.000141649,-0.000569616,0.00106587,0.000840223,-0.000567746,-0.000820475,0.000428906,0.000263196,-0.000246496,0.000418952,-0.00013691,0.000235388,0.000165062,-0.000134743,-4.50E-05,0.000328111,-5.30E-05,5.41E-05,3.98E-05,8.76E-06,0.000195158,4.00E-06,-1.69E-18
Carcharodon_carcharias_mask,Vulnerable,,reef-associated,-0.001768166,-0.005103799,-0.002988826,0.003476673,0.002181669,0.001904038,-0.000595944,0.000938705,-0.000615379,0.000643326,-0.002262909,-9.18E-05,-0.000188385,-0.000325769,0.001115069,-0.00106165,-0.000293622,0.000761918,0.000632402,-0.000267764,5.88E-05,-0.000542856,7.23E-05,6.04E-05,-0.000439504,2.07E-05,-0.000107054,-0.000217516,0.000117703,-0.000140292,0.001076735,-0.00040046,0.000199676,-0.000142425,-0.000226194,0.000116132,-0.000191902,-2.46E-05,6.47E-05,-3.23E-06,-3.72E-18
Cetorhinus_maximus_mask,Vulnerable,,reef-associated,0.002541339,-0.004543502,-0.003558835,0.003202064,0.001696699,0.000623084,-0.001973866,-0.000414628,0.001579013,0.00238366,-0.002424205,-0.000997423,0.000494558,-0.000138564,0.000806197,-0.001212963,0.000933934,0.002146594,2.38E-05,-8.02E-05,0.000227476,-0.000141523,-2.69E-05,-0.000449588,0.000251941,0.000519025,0.000280607,9.58E-05,-0.000274703,0.000177103,-0.000366459,-0.000116829,-0.000151336,-0.000125457,0.000490772,0.000150568,9.19E-05,-3.58E-05,-4.81E-05,-3.17E-06,-3.65E-18
Eusphyra_blochii_mask,Critically Endangered,,pelagic-oceanic,-0.014697506,0.000939246,0.009132871,-0.004151544,-0.000800438,0.004148914,1.94E-05,0.00328852,0.001806055,-0.004166549,-0.002565849,0.00038025,0.002376576,-0.000680536,0.001509296,-0.000233055,-0.001530997,0.000731493,-0.000525744,0.000529226,-0.000128628,0.000541383,-7.89E-05,0.000137593,-8.62E-05,4.84E-05,0.00014858,-5.47E-05,0.000265403,-3.57E-05,-0.000304421,6.48E-05,-9.43E-06,-0.000203948,-4.13E-05,-8.03E-05,-5.59E-05,6.59E-05,3.51E-05,-2.35E-06,-1.05E-18
Galeocerdo_cuvier_mask,Data Deficient,,reef-associated,-0.00089597,7.30E-05,0.004073797,0.002218741,-0.004618992,-0.003675118,0.003067018,-0.002541539,0.001444087,0.000186183,0.000641498,0.001576873,0.000221367,-7.95E-05,0.001294266,0.000881038,-0.000255099,-0.000447296,0.000143222,0.000681242,-4.65E-05,-0.000791347,0.000918565,-0.000589899,0.000209415,-0.000438332,-0.000149861,0.000590596,-0.000363784,0.000238065,0.000116103,-0.000437173,9.91E-06,-0.000310399,0.000211025,-0.000262878,-8.83E-05,1.68E-05,3.43E-05,-3.02E-06,-1.79E-18
Ginglymostoma_cirratum_mask,Endangered,,reef-associated,-0.00496374,0.005412481,0.002068833,0.003941599,-0.00033488,0.001576632,-0.007418608,-0.004420709,0.003002694,0.00043611,0.001565025,-8.75E-05,0.001486175,-0.000204659,-0.000615066,4.74E-05,-7.41E-06,6.54E-05,-0.000165212,-0.001596147,-0.001002684,-0.000196655,0.000356996,0.000393088,-0.000261303,-0.000475108,-5.66E-05,-0.000161373,5.96E-05,-0.000377886,1.16E-05,0.000117197,9.23E-05,-0.000260544,4.86E-06,-0.000129554,7.89E-05,-6.08E-05,-8.24E-05,-1.23E-06,-2.89E-18
Hexanchus_griseus_mask,Endangered,,benthopelagic,-0.007666892,0.008208243,-0.000832515,0.003128389,0.002914382,0.002049486,0.006330295,-0.000910782,-0.000640249,-0.00196195,0.002774115,-0.001125192,-0.000581806,0.000168181,-0.000555073,0.00025919,0.000113339,0.001906683,0.000565936,-0.000686575,-8.49E-05,0.000338028,0.000399855,0.000490474,-0.000742756,-0.000113619,0.000192877,0.000598768,-5.04E-05,0.000426596,7.13E-05,0.000314928,-1.65E-07,2.60E-05,2.35E-05,1.75E-05,-0.000123579,4.83E-05,-5.16E-05,-3.44E-06,-1.17E-18
Hexanchus_nakamurai_mask,Endangered,,benthopelagic,-0.013276777,0.008958008,-0.001397945,0.001877146,0.000792291,0.004225402,0.003926105,0.00161704,-0.000690118,0.000419954,0.000831754,0.000937241,0.000717837,-0.000219492,0.000531759,0.000426976,0.001853106,-0.000302655,0.000730997,-0.000259794,0.000703145,0.000105163,-7.86E-05,0.000528173,0.001251137,-0.000659658,0.000168085,-0.000213974,0.000474095,-0.000401335,-4.60E-05,-0.000170831,-5.17E-05,-8.43E-05,0.000130046,5.17E-05,2.92E-05,-6.39E-05,0.000103413,1.46E-06,-2.82E-18
Isurus_oxyrinchus_mask,Least Concern,,pelagic-neritic,-0.007938033,-0.005730962,-0.003056124,0.005595893,0.002691085,-0.002962318,-0.00014245,0.002938922,-0.002606666,0.000852205,-0.00138892,2.76E-05,0.001294534,-0.001287717,0.00082878,0.000406298,1.73E-05,-4.37E-05,-0.000487904,-0.000714496,-0.000464843,-5.12E-05,-0.000418602,0.000558052,0.00050612,-0.000316947,0.000390795,3.38E-05,-0.000701011,0.000241363,-6.82E-06,0.000113981,0.000194384,0.000324103,-0.000152295,-0.000320464,0.000106722,0.000124021,2.40E-05,2.67E-06,-3.33E-18
Lamna_ditropis_mask,Endangered,,reef-associated,-0.010509803,-0.009334214,-0.001281843,0.001331338,0.004313869,-0.003199383,-0.001222429,0.002049419,-0.002983273,-0.002543958,-0.000348342,0.000248331,-0.000184843,0.000337396,-0.001672858,0.002095253,-0.001337434,-0.000276897,8.97E-05,-0.00104326,0.000115131,8.61E-05,0.000434603,-0.000434692,0.000489615,5.98E-05,-2.22E-05,-3.83E-05,0.000263129,9.21E-05,-0.000101473,-0.000426201,7.02E-06,-0.000140312,0.000144848,0.00021064,-6.58E-06,-3.29E-05,-0.000168352,-3.86E-06,-2.06E-18
Lamna_nasus_mask,Vulnerable,,reef-associated,-0.006905218,-0.008866757,-0.000577688,0.001069999,0.001537922,-0.00159907,-0.004186916,-0.001891983,-0.003823981,-0.000983926,-0.000483631,0.002069183,0.000374605,0.001763332,7.84E-05,-4.34E-06,0.001181397,0.001195463,-0.00030585,0.001061214,-4.27E-05,-6.19E-06,0.000648062,0.000427992,4.32E-05,2.77E-05,-0.000820931,0.000495156,0.000193715,-0.000276938,-0.000126253,0.000266319,-0.000152239,6.00E-05,-0.000171115,-1.72E-05,2.67E-05,4.44E-06,6.69E-05,3.46E-06,-4.48E-19
