species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
Delphinapterus_leucas_mask,Least Concern,0.060625,-0.002688228,-0.010058053,0.014005012,-0.004903653,0.00273222,0.002252632,-0.000923281,0.001255198,0.001793481,0.000377934,-0.000885542,-0.001589266,-0.000260265,0.000922016,-0.000555078,-0.000972861,0.000232872,0.00038271,-0.000487457,0.000169906,-0.000139016,0.000215556,3.11E-05,0.000154283,4.46E-05,6.94E-05,-5.48E-06,4.43E-05,-2.03E-05,-8.74E-05,6.32E-06,-3.38E-05,6.98E-06,-3.05E-05,4.07E-05,9.56E-06,-1.06E-06,8.44E-06,-4.64E-06,1.63E-05,4.12E-07,7.48E-07,2.62E-06,-2.47E-07,1.14E-18
Eschrichtius_robustus_mask,Least Concern,0.060625,-0.000722066,-0.002328861,-0.001009035,0.006526531,-0.002790726,0.000479166,0.000963891,-0.001047978,0.001248791,0.000166427,7.36E-06,0.00016586,0.000828643,0.001085267,-0.000195766,-0.001044524,-0.000643732,0.000524761,-1.19E-05,-0.000332497,0.000375202,-0.000115482,-0.000449671,-0.000441599,0.000356355,-0.000213065,0.00019585,-0.000111766,-0.000158871,8.70E-05,6.01E-06,5.01E-05,4.99E-05,-6.53E-06,-6.16E-06,-3.92E-05,1.93E-05,4.41E-05,-2.70E-05,-1.52E-05,-6.42E-06,5.62E-06,5.73E-06,3.79E-06,4.37E-18
Eubalaena_australis_mask,Least Concern,0.060625,0.005299356,-0.005521097,0.007446437,0.001675253,-0.001732334,-0.001476567,-0.00171902,-0.001675326,-6.01E-06,-5.46E-06,0.001123939,0.001935396,0.000480796,0.000478948,0.00131657,-0.000509416,-0.000169784,0.000443531,-0.000248935,0.000519033,-7.26E-05,-0.000313648,5.78E-05,0.000152698,-0.000507089,-0.0002571,-0.000134394,2.31E-05,-1.01E-05,-3.65E-05,2.64E-05,-7.28E-05,-6.63E-05,5.43E-05,-3.53E-05,4.92E-07,2.46E-06,-3.75E-05,-1.02E-05,4.23E-06,-6.93E-06,-8.62E-06,1.20E-07,-1.58E-06,1.98E-18
Eubalaena_glacialis_mask,Least Concern,0.060625,-0.001830954,-0.003678358,0.006686554,0.006873909,-0.003090345,0.0026734,0.000470822,0.001525756,0.00053907,9.97E-05,-0.000386093,0.000477364,-0.001193096,-0.00176839,-0.00020034,0.001439684,-2.19E-05,0.000727827,8.87E-05,-0.000123886,-6.03E-05,0.000119908,-0.000101021,0.000162145,-4.23E-05,-0.000300157,4.80E-05,-0.000116413,3.21E-05,-8.00E-05,-7.92E-05,6.61E-05,1.73E-07,-3.38E-05,1.04E-05,-3.78E-05,-6.09E-06,2.25E-05,4.90E-06,-4.26E-06,-8.54E-06,7.36E-06,2.90E-06,1.73E-06,3.27E-18
Eubalaena_japonica_mask,Least Concern,0.060625,0.003316538,-0.000495711,0.001494297,0.008082953,-0.003747155,0.000809543,-0.000486179,-0.001105523,0.000603971,-0.001082697,0.000323205,-0.000601308,-0.000443599,-0.000547039,-0.000531357,-2.81E-05,-0.000556969,-6.17E-05,-0.000344302,0.000129512,0.000258904,0.00035417,0.000326635,-4.73E-05,5.31E-05,0.000370975,0.000248639,0.000191234,5.14E-06,0.000145259,0.000109384,-0.000123724,-3.46E-05,-3.11E-06,-5.29E-05,5.15E-05,-3.63E-05,-7.89E-05,6.72E-06,5.73E-06,7.53E-06,-1.37E-05,-5.80E-06,-3.66E-06,2.41E-18
Feresa_attenuata_mask,Near Threatened,0.12125,0.006452108,0.008358003,-0.000848616,-0.002918813,-0.003247838,0.001965377,0.002511675,-0.000212136,-0.000348678,0.00336364,0.001162539,-0.001321796,0.001416604,-0.000914991,0.000497808,0.00010525,0.000529077,0.000195043,-0.000445165,0.000146918,6.09E-05,0.000290173,-0.00036765,0.000100936,-8.13E-05,-7.36E-05,1.26E-05,0.000124357,-2.11E-05,5.66E-05,3.46E-05,-5.28E-05,-2.04E-05,-1.28E-06,-3.72E-05,-1.74E-05,1.28E-05,-1.05E-05,-5.52E-06,-3.19E-07,-1.27E-05,-5.07E-06,1.43E-07,-5.10E-08,4.61E-18
Globicephala_macrorhynchus_mask,Least Concern,0.060625,0.01361204,0.002336045,0.001830863,-0.006040914,-8.41E-05,0.004499767,-0.00193882,-0.001473498,-0.000922096,-0.000973266,-0.000748754,0.00056872,-3.26E-05,0.00022709,0.000133049,1.44E-05,-0.00013045,0.000201524,0.000810219,-0.000823344,-0.000146603,0.000493183,-1.85E-05,5.81E-05,0.000266481,-0.000150081,-0.000263736,4.79E-05,-4.88E-05,0.000116048,1.23E-05,9.25E-06,-1.24E-05,7.33E-05,-7.33E-05,-6.43E-06,1.86E-06,-4.59E-05,-2.51E-05,2.50E-06,-8.61E-06,-6.69E-06,-4.43E-06,-4.91E-07,4.02E-18
Globicephala_melas_mask,Least Concern,0.060625,0.018868164,0.003822933,-0.00250519,-0.00435796,-0.000357042,0.005473361,-0.000621181,-0.000239698,0.000328213,1.84E-06,-0.000540142,0.000679435,-0.000154801,0.000359434,0.000403819,0.000592687,-0.000175766,-0.000505706,-0.000612568,0.000815696,0.000332196,-0.00020489,0.000467468,-0.000361372,0.00021417,-0.000118619,6.69E-05,-0.000211303,4.16E-05,-3.94E-05,4.04E-06,-5.03E-05,5.48E-06,-6.60E-05,8.91E-06,1.64E-05,-4.13E-06,3.09E-05,1.75E-05,5.64E-06,5.98E-06,5.43E-06,1.04E-06,6.68E-07,5.59E-18
Hyperoodon_ampullatus_mask,Data Deficient,Data Deficient,0.002034797,0.001814387,-0.004783948,-0.000359549,-0.00099994,-0.000593278,-0.002454143,0.00042241,-2.71E-05,-0.00042999,-0.00186406,-0.000716773,-0.000156121,7.60E-05,-0.001183967,-0.000167533,0.000185389,-2.95E-05,8.61E-05,0.000874376,0.000156559,-2.38E-05,-0.00027981,-0.000135708,-0.000302256,-0.000277639,-3.98E-06,0.000189071,0.00014904,1.69E-05,8.55E-05,0.000203823,-1.30E-05,8.45E-05,-1.09E-05,-4.25E-05,-2.14E-07,-3.82E-05,-1.85E-05,-4.64E-05,-5.59E-06,-6.12E-07,-6.43E-06,-6.68E-06,5.04E-18
Hyperoodon_planifrons_mask,Least Concern,0.060625,-0.005747999,0.00280612,-0.001354906,-0.000344668,0.001176379,-0.000587131,-0.002114012,0.00027463,-0.001132886,-0.000167487,0.00025965,-0.000538974,-0.000588186,0.000765783,-6.40E-05,0.000341242,2.11E-05,-3.19E-05,0.000460888,0.000211736,0.00033564,-6.33E-05,-0.000120781,0.000295327,0.000111672,-0.000117693,0.000323892,0.000156317,-5.61E-05,3.95E-05,-0.000139547,-0.000201764,-0.000181016,8.25E-05,-4.04E-05,-7.45E-05,5.29E-06,5.06E-05,1.59E-05,4.26E-05,-5.22E-07,1.58E-05,9.40E-06,-1.39E-05,3.86E-18
Indopacetus_pacificus_mask,Data Deficient,Data Deficient,-0.007381754,0.002872999,-0.000300061,-0.001777215,0.001034132,-0.001445657,-0.000903384,0.000709796,-0.000194537,-0.000106922,0.001592485,0.000111345,-0.000628007,0.001205815,-5.28E-06,0.001282375,-0.000451053,0.000105666,-0.000261868,0.000526877,-0.00010684,3.16E-05,-0.00054532,0.000278644,0.000431679,-1.78E-05,-4.50E-05,3.20E-06,-8.16E-05,4.72E-05,-4.76E-06,8.90E-05,3.13E-05,-6.05E-05,3.71E-05,4.33E-05,2.88E-05,-5.47E-05,-3.17E-05,1.19E-05,2.37E-05,-1.89E-05,-1.57E-06,1.26E-05,3.92E-18
Kogia_breviceps_mask,Data Deficient,Data Deficient,-0.000464521,-0.003860089,0.005436787,-0.001889676,-0.001414203,-0.001357618,-0.001263093,-0.000276363,-0.000228437,0.001027972,0.000974847,0.000322969,-0.000227375,0.000371263,0.000660511,0.000466486,0.000985686,0.000162476,0.000851559,-5.23E-06,0.00074155,-4.29E-05,0.000165392,-0.000176731,0.000174612,0.000345572,0.000114054,3.32E-05,0.000142747,-3.56E-05,1.74E-05,7.65E-05,8.64E-05,3.00E-05,2.49E-05,-1.06E-05,-6.70E-05,2.58E-05,-1.74E-05,-5.77E-05,-1.33E-06,-1.17E-05,-9.21E-07,-1.97E-07,1.96E-18
Kogia_sima_mask,Least Concern,0.060625,-0.009678079,0.006836121,0.005446939,0.004207697,0.002057624,0.002988997,0.001877259,0.001270732,-0.002314789,0.000169563,-0.001359369,0.00111243,0.000289042,0.000963761,0.000487464,0.000153115,4.81E-05,-0.000776513,-0.000392282,-0.000381579,-0.00020585,2.49E-05,-0.0001732,-5.40E-06,-0.000252612,8.45E-05,0.000254451,0.000279818,-0.000117948,-6.82E-05,5.95E-06,5.71E-05,1.53E-05,-2.90E-06,3.52E-05,2.64E-05,-3.59E-05,8.95E-06,-1.14E-05,-3.61E-05,9.09E-06,3.59E-07,-1.52E-06,-1.73E-06,2.84E-18
